task_id,metric,n_train,model_left,model_right,repeats,difference_mean,difference_sd,difference_q10,difference_q90,difference_mcse
bdb2023_sack,skill,10,relnet,set_transformer,100,0.008359036333087703,0.043938079406998225,-0.019833312636945932,0.05519551526798021,0.004393807940699822
bdb2023_sack,skill,10,attn_relnet,set_transformer,100,0.008085930422823958,0.04378625252247704,-0.0199316768961742,0.053553085453627615,0.004378625252247704
bdb2023_sack,skill,20,linear_structure,boosted_structure,100,0.03737278069796905,0.01571718350907929,0.01940161417708275,0.05283726539623192,0.0015717183509079287
bdb2023_sack,skill,20,linear_structure,relnet,100,0.00444507782442416,0.01954320238108427,-0.012935379495599775,0.021209337275884994,0.001954320238108427
bdb2023_sack,skill,20,linear_structure,attn_relnet,100,0.009952059036983969,0.06107746252270283,-0.013597390707259249,0.02117592086541965,0.0061077462522702835
bdb2023_sack,skill,20,linear_structure,set_transformer,100,0.0215672754612461,0.08974056867345129,-0.009401982786194463,0.036873129882990796,0.008974056867345129
bdb2023_sack,skill,20,boosted_structure,relnet,100,-0.03292770287354489,0.02023024773851206,-0.05249163349015035,-0.009817043246980997,0.002023024773851206
bdb2023_sack,skill,20,boosted_structure,attn_relnet,100,-0.02742072166098508,0.060667698485034664,-0.05249629491546674,-0.008047185252669294,0.006066769848503467
bdb2023_sack,skill,20,boosted_structure,set_transformer,100,-0.015805505236722948,0.09108386496975653,-0.053169335665526264,0.008951690502913567,0.009108386496975653
bdb2023_sack,skill,20,relnet,attn_relnet,100,0.0055069812125598085,0.05917222258320016,-0.0002570594648016455,0.00035009975643405324,0.005917222258320016
bdb2023_sack,skill,20,relnet,set_transformer,100,0.01712219763682194,0.08451324815535183,-0.015283592822330837,0.03050979803078709,0.008451324815535182
bdb2023_sack,skill,20,attn_relnet,set_transformer,100,0.011615216424262132,0.09704884106450531,-0.017838297693222684,0.02698289176861299,0.009704884106450531
bdb2023_sack,skill,30,linear_structure,boosted_structure,100,0.03195046872010725,0.012296555852058147,0.02127428521622743,0.04451410403225245,0.0012296555852058147
bdb2023_sack,skill,30,linear_structure,relnet,100,0.005344443515258491,0.018541596490998815,-0.008912260229073942,0.022468946668591398,0.0018541596490998815
bdb2023_sack,skill,30,linear_structure,attn_relnet,100,0.0054426763280484205,0.018791166001949938,-0.009441474522522763,0.024986986781197585,0.0018791166001949939
bdb2023_sack,skill,30,linear_structure,set_transformer,100,0.0061140099358464,0.020628844668894284,-0.010066639316966419,0.02442543938442114,0.0020628844668894282
bdb2023_sack,skill,30,boosted_structure,relnet,100,-0.026606025204848754,0.019580570514095764,-0.045979739925884625,-0.011886961384134098,0.0019580570514095763
bdb2023_sack,skill,30,boosted_structure,attn_relnet,100,-0.026507792392058825,0.019779597003199593,-0.0461629530469293,-0.009181613441641558,0.001977959700319959
bdb2023_sack,skill,30,boosted_structure,set_transformer,100,-0.02583645878426084,0.02144774208946413,-0.04583958609308877,-0.004820457715836424,0.002144774208946413
bdb2023_sack,skill,30,relnet,attn_relnet,100,9.823281278992902e-05,0.0016314341504875456,-0.00020458100910043518,0.0004646293303723909,0.00016314341504875457
bdb2023_sack,skill,30,relnet,set_transformer,100,0.0007695664205879082,0.022796486938557906,-0.012887504189775056,0.01765707609374152,0.0022796486938557905
bdb2023_sack,skill,30,attn_relnet,set_transformer,100,0.0006713336077979792,0.02289706354558901,-0.012920474172373263,0.01774927219076562,0.002289706354558901
bdb2023_sack,skill,40,linear_structure,boosted_structure,100,0.027653460538628143,0.011069417335763112,0.011351705329212525,0.041587708298426646,0.0011069417335763112
bdb2023_sack,skill,40,linear_structure,relnet,100,0.003921121007414621,0.016886140693703484,-0.010693852693396544,0.017781781162118374,0.0016886140693703484
bdb2023_sack,skill,40,linear_structure,attn_relnet,100,0.00312714022726284,0.013280741109011361,-0.010541339673507831,0.017037008118503432,0.0013280741109011362
bdb2023_sack,skill,40,linear_structure,set_transformer,100,0.005448565303648753,0.019144705613998957,-0.013767691810535831,0.024553575500818683,0.0019144705613998957
