model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
lightgbm_multiclass,LightGBM,360,crps,crps,play,100,0.013343954274302787,0.00027545613270227765,2.7545613270227764e-05,0.01335402333723347,0.00041252215000508845,0.012987511754724887,0.013642765807260634
lightgbm_multiclass,LightGBM,360,coverage,coverage,play,100,0.9151626848054151,0.005109420650274706,0.0005109420650274706,0.9156895349911398,0.006072108211655047,0.9089359534643267,0.9213500552591879
lightgbm_multiclass,LightGBM,360,mean_width,mean_width,play,100,13.64421001519321,0.2562502007085507,0.02562502007085507,13.644041207935997,0.3220265196186336,13.295524898790422,13.990672988942261
lightgbm_multiclass,LightGBM,360,mean_width_inclusive,mean_width_inclusive,play,100,14.64421001519321,0.2562502007085507,0.02562502007085507,14.644041207935997,0.3220265196186336,14.295524898790422,14.990672988942261
lightgbm_multiclass,LightGBM,360,mean_q,mean_q,play,100,1.4008180468629847,0.14043303587992148,0.014043303587992148,1.3863535528573665,0.1775872625844921,1.2266562079928767,1.5753289813046882
lightgbm_multiclass,LightGBM,360,crps_game_equal,crps,game_equal,100,0.01329608814317107,0.0002717728410246963,2.7177284102469632e-05,0.013321063961398899,0.00040109566259297763,0.012908757970035701,0.013608356829928161
lightgbm_multiclass,LightGBM,360,coverage_game_equal,coverage,game_equal,100,0.9155894166487795,0.005120639564126167,0.0005120639564126167,0.9159430352285983,0.0059014870703690825,0.9087702748982036,0.921643596228937
lightgbm_multiclass,LightGBM,360,mean_width_game_equal,mean_width,game_equal,100,13.667309323739,0.2560090265694636,0.02560090265694636,13.665323879299041,0.32324181354767667,13.312921982003699,14.004163790680463
lightgbm_multiclass,LightGBM,360,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,14.667309323739,0.25600902656946356,0.025600902656946357,14.665323879299041,0.32324181354767667,14.312921982003699,15.004163790680463
zoo_cnn,Zoo CNN,20,crps,crps,play,100,0.016289815779116704,0.0011825011596770113,0.00011825011596770113,0.01601349382611508,0.0008607091064710467,0.015333274049188854,0.01750690299593335
zoo_cnn,Zoo CNN,20,coverage,coverage,play,100,0.9279241075774712,0.021018436462192546,0.0021018436462192547,0.9213255730111918,0.0191157968683362,0.9111964336367622,0.960902290409037
zoo_cnn,Zoo CNN,20,mean_width,mean_width,play,100,20.641105040418903,8.105972437235469,0.8105972437235469,17.65755617171198,4.271719267391017,15.734816432147472,31.447670190460833
zoo_cnn,Zoo CNN,20,mean_width_inclusive,mean_width_inclusive,play,100,21.641105040418903,8.105972437235469,0.8105972437235469,18.65755617171198,4.271719267391017,16.734816432147472,32.44767019046083
zoo_cnn,Zoo CNN,20,mean_q,mean_q,play,100,2.689161810087725,1.4365056109810612,0.14365056109810612,2.946499445967982,2.0522646526136157,0.2037676937891189,4.404485171990876
